Drugs,Code,Library,Selected,preset_Respiratory,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype Syndromic CRF_ARI,Comment,Value,Translation Reviewers
Aminofilina (trufilina)," R03DA05   "," ATC     ",,,,,,,,,,,1,0
"Beclometasona (Qvar, Beconase AQ)"," R03BA01   "," ATC     ",,,,,,,,,,,2,0
Caspofungina (Cancidas)," J02AX04   "," ATC     ",,,,,,,,,,,3,0
Cloroquina (Aralen)," P01BA01   "," ATC     ",,,1.0,,,,,,1.0,,4,0
"Clobetasol (Temovate, Olux, Impoyz)",D07AD01,ATC,,,,,,,,,,Topical,5,0
Fluconazol (Diflucan)," J02AC01   "," ATC     ",,,,,,,,,,,6,0
"Fluticasona (Flovent, Flonase)"," R03BA05   "," ATC     ",,,,,,,,,,,7,0
Furoato de fluticasona," R03BA09"," ATC     ",,,,,,,,,,,8,0
"Formoterol (Foradil, intérprete)"," R03AC13"," ATC     ",,,,,,,,,,,9,0
Formoterol y beclometasona (Fostair)," R03AK11   "," ATC     ",,,,,,,,,,,10,0
Formoterol y budesonida (Symbicort)," R03AK07   "," ATC     ",,,,,,,,,,,11,0
Bromuro de glicopirronio (Seebri)," R03BB06   "," ATC     ",,,,,,,,,,,12,0
Hidroxicloroquina (Plaquenil)," P01BA02   "," ATC     ",,,,,,,,,,,13,0
"Imiquimod (Aldara, Zyclara)","D06BB10  ",ATC,,,,,,,,,,Topical/Locally acting,14,0
Indacaterol y bromuro de glicopirronio (Ultibro Breezhaler)," R03AL04"," ATC     ",,,,,,,,,,,15,0
Interferón Alfa," L03AB01 "," ATC     ",,,1.0,,,,,,1.0,,16,0
Interferón Beta," L03AB02 "," ATC     ",,,1.0,,,,,,1.0,,17,0
Bromuro de ipratropio (Atrovent)," R03BB01   "," ATC     ",,,,,,,,,,,18,0
Ivermectina (Stromectol)," P02CF01   "," ATC     ",,,,,,,,,,,19,0
Mafenida (sulfamilona),D06BA03,ATC,,,,,,,,,,Topical,20,0
"Mometasona (Asmanex, Nasonex)"," R03BA07"," ATC     ",,,,,,,,,,,21,0
Montelukast (Singulair)," R03DC03   "," ATC     ",,,,,,,,,,,22,0
Mupirocina (Bactroban),D06AX09,ATC,,,,,,,,,,Topical/Locally acting,23,0
"Nistatina (Bio-statina, Nyamyc)",A02AA01,ATC,,,,,,,,,,Locally acting,24,0
"Podofilotoxina (Podofilox, Condylox)","D06BB04 ",ATC,,,,,,,,,,Topical,25,0
primaquina," P01BA03   "," ATC     ",,,,,,,,,,,26,0
"Salbutamol (Ventolin, Proventil)"," R03AC02   "," ATC     ",,,,,,,,,,,27,0
Salmeterol (Serevent)," R03AC12   "," ATC     ",1.0,,,,,,,,,,28,0
"Salmeterol y fluticasona (Advair, Seretide)"," R03AK06   "," ATC     ",,,,,,,,,,,29,0
Azufre precipitado en vaselina.,D10AB02,ATC,,,,,,,,,,Topical,30,0
"Teofilina (Theo-24, Elixofilina)"," R03DA04   "," ATC     ",,,,,,,,,,,31,0
Bromuro de tiotropio (Spiriva)," R03BB04   "," ATC     ",,,,,,,,,,,32,0
ácido tricloroacético,78151001,SNOMED,,,,,,,,,,Topical,33,0
Vilanterol y furoato de fluticasona (Breo Ellipta)," R03AK10   "," ATC     ",,,,,,,,,,,34,0
Vilanterol y bromuro de umeclidinio (Anoro Ellipta),R03AL03," ATC     ",1.0,,,,,,,,,,35,0